time,x_t,true_cdf,empirical_cdf,eta_before,eta_used,eta_after,released_bet,released_wealth,equation8_bet,equation8_wealth,reverse_bet,reverse_wealth
16,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,258.23174412416984,1.4481069916625224,373.94730361297144,0.49999999999996103,1.5258789062480972e-05
17,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,373.9471881305983,1.4481069916625224,541.5157048752919,0.49999999999996103,7.6293945312398915e-06
18,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,541.5155289488391,1.4481069916625224,784.1726783249693,0.49999999999996103,3.8146972656196484e-06
19,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,784.1724109724537,1.4481069916625224,1135.5659381531143,0.49999999999996103,1.9073486328096756e-06
20,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,1135.56553276323,1.4481069916625224,1644.4209745333364,0.49999999999996103,9.536743164047635e-07
21,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,1644.420361079416,1.4481069916625224,2381.2975104582233,0.49999999999996103,4.7683715820234457e-07
22,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,2381.296583872607,1.4481069916625224,3448.3735741231117,0.49999999999996103,2.384185791011537e-07
23,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,3448.372176954267,1.4481069916625224,4993.613882551959,0.49999999999996103,1.1920928955056756e-07
24,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,4993.611779114895,1.4481069916625224,7231.287176986526,0.49999999999996103,5.9604644775279134e-08
25,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,7231.284014865121,1.4481069916625224,10471.677519713732,0.49999999999996103,2.9802322387637244e-08
26,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,10471.672772470181,1.4481069916625224,15164.109430732717,0.49999999999996103,1.4901161193817461e-08
27,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,15164.102312711977,1.4481069916625224,21959.25288897964,0.49999999999996103,7.45058059690815e-09
28,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,21959.242228703963,1.4481069916625224,31799.347640216864,0.49999999999996103,3.7252902984537845e-09
29,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,31799.33169236553,1.4481069916625224,46048.85764810517,0.49999999999996103,1.862645149226747e-09
30,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,46048.833814460995,1.4481069916625224,66683.67271829332,0.49999999999996103,9.31322574613301e-10
31,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,66683.63713382506,1.4481069916625224,96565.09269309597,0.49999999999996103,4.656612873066142e-10
32,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,96565.03961234358,1.4481069916625224,139836.58587941184,0.49999999999996103,2.3283064365328895e-10
33,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,139836.50676731768,1.4481069916625224,202498.33770219304,0.49999999999996103,1.164153218266354e-10
34,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,202498.2198877132,1.4481069916625224,293239.2586265843,0.49999999999996103,5.8207660913313164e-11
35,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,293239.0833097983,1.4481069916625224,424641.8206470914,0.49999999999996103,2.9103830456654314e-11
36,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,424641.55995076144,1.4481069916625224,614926.7894313559,0.49999999999996103,1.4551915228326023e-11
37,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,614926.4020407299,1.4481069916625224,890479.7831361342,0.49999999999996103,7.275957614162444e-12
38,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,890479.2078538032,1.4481069916625224,1289509.9998935626,0.49999999999996103,3.6379788070809386e-12
39,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,1289509.1461163433,1.4481069916625224,1867348.4466646067,0.49999999999996103,1.8189894035403275e-12
40,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,1867347.1803181071,1.4481069916625224,2704120.341485168,0.49999999999996103,9.094947017700929e-13
41,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,2704118.4642573902,1.4481069916625224,3915855.572801519,0.49999999999996103,4.54747350885011e-13
42,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,3915852.7914943416,1.4481069916625224,5670577.8333145315,0.49999999999996103,2.2737367544248778e-13
43,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,5670573.714626459,1.4481069916625224,8211603.407189291,0.49999999999996103,1.1368683772123503e-13
44,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,8211597.311027004,1.4481069916625224,11891280.306710603,0.49999999999996103,5.6843418860613084e-14
45,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,11891271.287866117,1.4481069916625224,17219846.15196649,0.49999999999996103,2.8421709430304327e-14
46,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,17219832.81519978,1.4481069916625224,24936179.608015656,0.49999999999996103,1.4210854715151056e-14
47,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,24936159.894527316,1.4481069916625224,36110256.035719894,0.49999999999996103,7.105427357574974e-15
48,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,36110226.908623934,1.4481069916625224,52291514.23604978,0.49999999999996103,3.5527136787872102e-15
49,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,52291471.21720544,1.4481069916625224,75723707.369844,0.49999999999996103,1.7763568393934667e-15
50,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,75723643.85798943,1.4481069916625224,109656030.07687798,0.49999999999996103,8.881784196966641e-16
51,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,109655936.34406947,1.4481069916625224,158793663.83228284,0.49999999999996103,4.4408920984829744e-16
52,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,158793525.54725143,1.4481069916625224,229950214.827237,0.49999999999996103,2.2204460492413142e-16
53,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,229950010.88319394,1.4481069916625224,332992513.82562095,0.49999999999996103,1.1102230246205705e-16
54,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,332992213.1456591,1.4481069916625224,482208787.44216084,0.49999999999996103,5.55111512310242e-17
55,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,482208344.2821358,1.4481069916625224,698289916.5361003,0.49999999999996103,2.7755575615509937e-17
56,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,698289263.5798862,1.4481069916625224,1011198510.343366,0.49999999999996103,1.3877787807753887e-17
57,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,1011197548.555163,1.4481069916625224,1464323632.7869558,0.49999999999996103,6.938893903876403e-18
58,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,1464322216.500744,1.4481069916625224,2120497290.6954548,0.49999999999996103,3.469446951937931e-18
59,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,2120495205.710716,1.4481069916625224,3070706952.4575243,0.49999999999996103,1.7347234759688303e-18
60,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,3070703883.8673844,1.4481069916625224,4446712207.200458,0.49999999999996103,8.673617379843475e-19
61,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,4446707692.148681,1.4481069916625224,6439315037.15807,0.49999999999996103,4.3368086899213997e-19
62,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,6439308395.47803,1.4481069916625224,9324817126.826216,0.49999999999996103,2.1684043449605308e-19
63,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,9324807359.225767,1.4481069916625224,13503332877.331478,0.49999999999996103,1.0842021724801809e-19
64,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,13503318515.96557,1.4481069916625224,19554270750.41012,0.49999999999996103,5.421010862400482e-20
